id,triggerDesc,actionDesc,deviceCategory,original_content_after_dot
p6YABpfa,WHEN every single day at a specific time set by you,", THEN changes the brightness level of the selected wemo light",Light,If the light is off it will turn on with selected brightness level.
p7mHSX9T,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
pEQ74HU5,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
pKWJCLwq,WHEN every time the camera detects a sound or motion event,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
pRvXJ5Ya,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
pYPwac8V,WHEN every time your IFTTT Tag on MESH app receives an input signal from the other Tag,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
pa8N7Mzx,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
paCfHpc9,WHEN tado⁠° switches to Away Mode,", THEN return control of your heating to tado⁠°, using your user-defined settings (e",Thermostat/Heating,g. location and Smart Schedule) to automatically determine the right room temperature.
pbFsTKpD,WHEN a set number of minutes before the starting time of any event on your Google Calendar,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
pc862zWM,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
pjw34AuV,WHEN every time you press the button,", THEN enable/disable holiday mode on all your daikin ac units",Air/Climate,It will be executed within 1 minute.
pnWe5qKi,WHEN within 15 minutes of the sunset in your location,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
pngfYBDt,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
pqKNV8js,WHEN every time you enter an area you specify,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
psRYWJHn,WHEN every time your WeMo Switch is turned on,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
pweUsATX,WHEN every family member has left,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
pzw3kP2E,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
q2jwaAWy,WHEN you say “Ok Google” to the Google Assistant followed by a phrase like “Set Nest thermostat to 68,", THEN set the current room temperature to a level of your choice",Thermostat/Heating,This temperature level can be adjusted manually or if Clock Mode is activated.
q3aQGZX2,WHEN every time you enter an area you specify,", THEN turn a wemo dimmer on",Generic/Other,"If the WeMo Dimmer is already on, it will remain on."
q4Ud2ne9,WHEN motion is detected,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
q6ixGPpC,WHEN every time you exit an area you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
q9HRfjDP,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
qBCtbcr7,WHEN an event is triggered from your litter robot,", THEN clean a specific room in your home",Generic/Other,For robots with Imprint™ Smart Mapping technology.
qJH4XtEY,WHEN for an account that is on a dynamic pricing plan such as the Residential Hourly Pricing program or other real time market rates whenever the average price changes,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
qNYc82Dt,WHEN every time an alarm is detected,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
qU3LrEqb,WHEN every time the home you specify is set to Home,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
qYaAWSLr,WHEN a mode is armed,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
qd7zwvCn,WHEN every time your IFTTT Tag on MESH app receives an input signal from the other Tag,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
qdcuKxvn,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
qeHsP8cV,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
qekRDGUX,WHEN a specified motion sensor tag(s) or reed sensor(s) detect that a door or window is open,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
qgeNdvaw,WHEN every time you enter an area you specify,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
qhTBWsg9,"WHEN every time you check in on Foursquare or Swarm
with a single hashtag in the shout (e",", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
qiARtyhZ,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
qnHDsmYp,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
qqy6kQmJ,WHEN every time the carbon dioxide rises above a value you specify,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
qrixKVLP,WHEN every time the home you specify is set to Away,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
qsCMBKSm,WHEN every time a motion event is detected,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
qtvG7M9b,WHEN every single day at a specific time set by you,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
qvGjSXVE,WHEN every time your Android device connects to a WiFi network you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
qvYjWtiM,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
qzCAk3St,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn a wemo dimmer off",Generic/Other,"If the WeMo Dimmer is already off, it will remain off."
qzdgYDLc,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
r9GzEXwS,WHEN every time the Nest Protect you specify detects dangerous smoke levels,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
rCHje9z3,WHEN every time you enter an area you specify,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
rDMwc3nk,WHEN every time your SmartThings device's presence is detected,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
rJAmu5Lh,WHEN every time the temperature drops below a threshold you specify,", THEN turn off the pivot power genius outlet you specify",Generic/Other,"If the outlet is already off, it will remain off."
rTJMcLtf,WHEN every time a motion is detected at the given doorbell,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
rWfLFGCN,WHEN every time you exit an area you specify,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
rYBGptHX,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
rYKcUxNT,WHEN every time your WeMo Insight Switch is turned on,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
rYhWwbF7,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
rZhHbc8y,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
rb2LBNFg,WHEN every time a motion is detected at the given doorbell,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
reYryR6X,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
rfsy4XtG,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
rh5B68tV,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
rhj7iat4,WHEN every time the home you specify is set to Away,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
rhreCNQS,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
rrb2aMUP,"WHEN actions when the selected Tecan Instrument's state changes to Idle, Running, Paused, Error, User Interaction Required, Software Not Running, Not Connected and Stopped",", THEN change the color of the nanoleaf light panels or canvas that you select from the device dropdown on this screen",Light,You can enter either a hex value or a keyword for the color. Need help choosing a color? Bookmark nanoleaf.me/ifttt for easy access to a list and color picker.
rtiapfnz,WHEN every time your WeMo Switch is turned on,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
rzuAqhCE,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
s98s2XwC,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
s9zrWLXf,WHEN whenever a motion sensor detects movement nearby,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
sG2Br54t,WHEN every time your SmartThings device's presence is no longer detected,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
sRfZrbJP,WHEN every time the Nest Protect you specify detects dangerous carbon monoxide levels,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
sSerBLRc,WHEN an event is triggered from your litter robot,", THEN clean a specific room in your home",Generic/Other,For robots with Imprint™ Smart Mapping technology.
sWfr6MBK,WHEN every time your WeMo Insight Switch is turned off,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
sYnNKRVS,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turn off your daikin ac unit",Air/Climate,It will be executed within 1 minute.
sZVfdPqW,WHEN every time the temperature rises above the chosen value,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
scAgGRd7,WHEN every time the Nest Protect you specify detects dangerous carbon monoxide levels,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
sfLxR94C,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
skf8aFBA,WHEN every time you check in to a venue in a specific category on Foursquare or Swarm,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
spu2m4PQ,WHEN every time you exit an area you specify,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
ssK4XrfA,WHEN for an account that is on a dynamic pricing plan such as the Residential Hourly Pricing program or other real time market rates whenever the average price changes,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
sxfyuncW,WHEN every time you press the button,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
t3Ze7hrx,WHEN your water heater exceeds its energy use threshold,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
t52SXCDV,"WHEN once an hour at :00, :15, :30, or :45 minutes past the hour",", THEN close the garage door you specify",Generic/Other,"If the garage door is already closed, the door will remain closed. This Action will only work with 'garage mode'. Remote access must be enabled."
tDBVTCzN,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
tFiW46B8,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
tJWLQg5e,WHEN a device attached to your HomeSeer system is turned off,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
tLENyeAi,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
tTWe2mHC,WHEN every time your IFTTT Tag on MESH app receives an input signal from the other Tag,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
tWNBuzmy,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
tZLaQVh9,WHEN your Blink camera detects motion,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
tbE8rTjS,WHEN within 15 minutes of the sunrise in your location,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
tdvyGswE,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
thsqQEbP,WHEN every time the home you specify is set to Away,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
tkWsMtx5,WHEN every time you enter an area you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
tnRsLavJ,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
tqXahU4Q,WHEN every time the temperature drops below a threshold you specify,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
tqxQf4UY,WHEN every time you receive an SMS on your Android device that matches a search you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
trXqZJSU,WHEN within 15 minutes of the sunset in your location,", THEN turns on the selected group of wemo lights",Light,If the group is already on it will remain on.
tteCW4cv,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
ttjYZ9sr,WHEN every time your D-Link camera detects a sound event,", THEN activate the scene that you choose",Light,You can choose from any Scene that is listed in your Nanoleaf Smarter Series App.
twr29YQ7,WHEN the device attached to your WeMo Insight Switch is turned on longer than the minutes you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
tztSBapb,WHEN every time your WeMo light switches on,", THEN turns on the selected group of wemo lights",Light,If the group is already on it will remain on.
u2XcB3aG,WHEN every time you enter an area you specify,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
u8xn5BzM,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
uFRWgaM3,WHEN every time your WeMo Insight Switch is turned on,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
uHWZNiLb,WHEN every time your WeMo Light Switch is turned on or off with a long press over two seconds,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
uJhXsnKf,WHEN every time your Fitbit logs new sleep,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
uJjfgXQP,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
uJwpnekP,WHEN every time your Android device disconnects from a WiFi network you specify,", THEN set the current room temperature to a level of your choice",Thermostat/Heating,This temperature level can be adjusted manually or if Clock Mode is activated.
uKFzkhcV,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
uNbwSZJ8,WHEN every time you enter an area you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
uP4wJkYg,WHEN every time you press the button,", THEN change operation settings for heat mode in your device",Thermostat/Heating,This action is for devices not set to work with compensation curve setting.
uRAbB5vU,WHEN only on specific days of the week at the time you provide,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
uUf5J9bz,WHEN a specified tag senses that its ambient temperature falls below an lower threshold configured at temperature options screen inside the WirelessTag app,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
uW5he3Sj,WHEN every day after the markets close and a stock's price rises from the previous closing price by at least the percentage you specify,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
uXpkN9gq,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
uYSifhPy,WHEN every time you click the selected Flic,", THEN turns off the selected group of wemo lights",Light,If the group is already off it will remain off.
uhkqupmw,WHEN within 15 minutes of the sunrise in your location,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
ukvszbNV,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
uqgmGP4F,WHEN every time you enter an area you specify,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
usv8iXrc,WHEN every time your alarm goes off,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
uu9ExgeV,WHEN a specified tag senses that its ambient temperature exceeds an upper threshold configured at temperature options screen inside the WirelessTag app,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
uuLKZAvB,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
uyL28bna,WHEN every time a stream is going live for the specified Channel that you follow,", THEN activate the scene that you choose",Light,You can choose from any Scene that is listed in your Nanoleaf Smarter Series App.
uyUCahRG,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
v7FDYHqe,WHEN every time your WeMo Maker relay is turned on in toggle mode,", THEN turn your wemo maker on",Generic/Other,"If the WeMo Maker is already on, it will remain on."
v92ZNFcs,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
vAjFnspN,WHEN every time the specified lock is unlocked,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
vE9VHagh,WHEN every month on the day and time you specify,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
vG7thLSp,WHEN every time the temperature drops below a threshold you specify,", THEN turn on the pivot power genius outlet you specify",Generic/Other,"If the outlet is already on, it will remain on."
vLN5SHTe,WHEN within 15 minutes of the sunrise in your location,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
vMrRbvZT,WHEN every time the temperature drops below a threshold you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
vQ7EbLGw,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
vQkYegp6,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
vS6ZRPpw,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
vSJHUFRr,WHEN every time you exit an area you specify,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
vUX9i8YJ,WHEN it's time for prayer,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
vZ93bBN2,WHEN time-of-day peak rates start or end,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
vZK2Wmci,"WHEN a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location",", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
vcXve2zY,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN close the garage door you specify",Generic/Other,"If the garage door is already closed, the door will remain closed. This Action will only work with 'garage mode'. Remote access must be enabled."
vcx3rjDM,WHEN every time the temperature drops below a value you specify,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
vhYSw4Mj,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN activate the scene that you choose",Light,You can choose from any Scene that is listed in your Nanoleaf Smarter Series App.
vnwBTfD3,"WHEN a door opens, closes, or moves",", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
vqTnWUrf,WHEN your Arlo device detects motion,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
vtNpMWqK,WHEN every time you receive an SMS on your Android device that matches a search you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
w38WZVTp,WHEN every time a new item in the feed you specify contains a particular keyword or simple phrase,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
w85QrvDx,WHEN every time your timer goes off,", THEN turn a wemo maker off",Generic/Other,"If the WeMo Maker is already off, it will remain off."
w8GzFKtU,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
wAJ9BSLv,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN open the garage door you specify",Generic/Other,"If the garage door is already opened, the door will remain opened. This Action will only work with 'garage mode'. Remote access must be enabled."
wBM9UW5Z,WHEN every time the temperature measured by your Spotter rises above the value you specify,", THEN turn on the pivot power genius outlet you specify",Generic/Other,"If the outlet is already on, it will remain on."
wG5zH2if,WHEN every time you enter an area you specify,", THEN set the thermostat into a hold using the settings from the specified comfort profile",Thermostat/Heating,This comfort profile hold will remain in effect until the next next comfort profile transition in the program.
wJ5sCkwV,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo light switch on",Light,"If the WeMo Switch is already on, it will remain on."
wJG7xztw,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
wK6BAF3s,WHEN every time your WeMo Light Switch is turned on,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
wLT3pNqw,WHEN every time you press the button,", THEN activate the scene that you choose",Light,You can choose from any Scene that is listed in your Nanoleaf Smarter Series App.
wLzqNP2i,WHEN every single day at a specific time set by you,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
wMyJnFdt,WHEN every single day at a specific time set by you,", THEN return control of your heating to tado⁠°, using your user-defined settings (e",Thermostat/Heating,g. location and Smart Schedule) to automatically determine the right room temperature.
wQu5Jvmd,WHEN every time you exit an area you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
wS3UDLqG,WHEN within 15 minutes of the sunrise in your location,", THEN turn a wemo dimmer on",Generic/Other,"If the WeMo Dimmer is already on, it will remain on."
wSHkVuLM,WHEN a Wyze Cam detects motion,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
wTZcYd3D,WHEN every time your WeMo Motion sensor detects new motion,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
wVp3jR6n,WHEN every time the Nest Protect you specify detects dangerous smoke levels,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
wWvmUTVG,WHEN your Blink camera detects motion,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
wXqPjg8w,WHEN every single day at a specific time set by you,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
wYig85ca,WHEN every time your Android device connects to a WiFi network you specify,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
wa7LUnVt,WHEN every time a device connects to Google Wifi,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
wbikvKdf,WHEN every single day at a specific time set by you,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
wjXurn7x,WHEN every time your WeMo Motion sensor detects new motion,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
wpQ3DbYe,WHEN every time your WeMo Switch is turned on,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
wsxHBRFA,WHEN every single day at a specific time set by you,", THEN close the garage door you specify",Generic/Other,"If the garage door is already closed, the door will remain closed. This Action will only work with 'garage mode'. Remote access must be enabled."
wuFHDqdy,WHEN every time your Android device is plugged in,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
wzLGDXwT,WHEN every time your WeMo Light Switch is turned off,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
x2B4b7nC,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
x6QuC8pK,WHEN every time a new notification is received on your Android device from an app that you specify,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
x7LfEvN5,WHEN every time you click the selected Flic,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
x8AGNKXF,WHEN every time your alarm goes off,", THEN turn a wemo insight switch on",Generic/Other,"If the WeMo Insight Switch is already on, it will remain on."
xDimAGBd,WHEN the alarm for a specific mode is triggered,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
xHjwE4xQ,WHEN every time the you ask Alexa what's on your Shopping List,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
xLqS3Ccz,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turns on the selected wemo light",Light,If it is already on it stays on.
xNAXzUr4,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
xSW4ZN5f,WHEN every time you say 'Alexa trigger' + the phrase that you have defined,", THEN set your honeywell thermostat to hold a temperature for a specified period of time",Thermostat/Heating,The schedule will resume when the time expires.
xTXnpzwe,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
xUBb2J5h,WHEN every single day at a specific time set by you,", THEN return control of your heating to tado⁠°, using your user-defined settings (e",Thermostat/Heating,g. location and Smart Schedule) to automatically determine the right room temperature.
xWYvai67,WHEN a Motion Sensor detects motion,", THEN turn on the selected light(s)",Light,"Optionally, a light mode or pre-defined color can be applied, as well as a level of dimming."
xYAm9fxC,WHEN every single day at a specific time set by you,", THEN turn a wemo switch off",Generic/Other,"If the WeMo Switch is already off, it will remain off."
xZJ6pb34,WHEN you say “Ok Google” to the Google Assistant followed by a phrase you choose,", THEN turns off the selected wemo light",Light,If it is already off it stays off.
xZKT8tAc,WHEN every time your WeMo Light Switch is turned on or off with a long press over two seconds,", THEN turn a wemo light switch off",Light,"If the WeMo Switch is already off, it will remain off."
xhw2f5yi,WHEN within 15 minutes of the sunset in your location,", THEN turn a wemo switch on",Generic/Other,"If the WeMo Switch is already on, it will remain on."
xkUxT2u7,WHEN every single day at a specific time set by you,", THEN close the garage door you specify",Generic/Other,"If the garage door is already closed, the door will remain closed. This Action will only work with 'garage mode'. Remote access must be enabled."
